p,o,p1,o1
swc:isSuperEventOf,iswc2012:tutorial-9,dc:subject,ICT4D
swc:isSuperEventOf,iswc2012:tutorial-9,dcterms:subject, Digital divide
swc:isSuperEventOf,iswc2012:tutorial-9,dcterms:subject, Global change
swc:isSuperEventOf,iswc2012:tutorial-9,dcterms:subject, Linked Data
swc:isSuperEventOf,iswc2012:tutorial-9,dcterms:subject,ICT4D
swc:isSuperEventOf,iswc2012:tutorial-9,swrc:abstract,"Linked Data have by-and-large been designed around centralized, powerful Web servers and the (mobile) clients accessing them. As a direct consequence of these design decisions, the usage of data- sharing technologies depends on the availability of a Web infrastructure comprised of data-centers, high-speed, reliable Internet connections, and modern client devices. Four-billion people currently have no access to such an infrastructure and are thus deprived of the benefits Linked (Open) Data provides. This tutorial will show how the design principles and technologies of Linked Data can be adapted to distributed networks, and thus contribute to closing this digital data divide. Join us to learn how not to forget the majority of the world population when thinking of the potential users of Linked Data and discuss the challenges this represents for the research community."
swc:isSuperEventOf,iswc2012:tutorial-9,swrc:listKeyword,"ICT4D, Linked Data, Global change, Digital divide"
swc:isSuperEventOf,iswc2012:tutorial-9,rdf:type,swc:TutorialEvent
swc:isSuperEventOf,iswc2012:tutorial-9,rdfs:label,LD4D: Linked Data for Development
swc:isSuperEventOf,iswc2012:tutorial-9,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-9,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,iswc2012:tutorial-9,foaf:homepage,http://worldwidesemanticweb.wordpress.com/ld4d-2012
swc:isSuperEventOf,workshop:cold/2012,swc:hasAcronym,COLD-2012
swc:isSuperEventOf,workshop:cold/2012,dc:subject, Consuming
swc:isSuperEventOf,workshop:cold/2012,dc:subject, Data Management
swc:isSuperEventOf,workshop:cold/2012,dc:subject, Query Processing
swc:isSuperEventOf,workshop:cold/2012,dc:subject, Reasoning
swc:isSuperEventOf,workshop:cold/2012,dc:subject, Search
swc:isSuperEventOf,workshop:cold/2012,dc:subject,Linked Data
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject, Consuming
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject, Data Management
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject, Query Processing
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject, Reasoning
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject, Search
swc:isSuperEventOf,workshop:cold/2012,dcterms:subject,Linked Data
swc:isSuperEventOf,workshop:cold/2012,swrc:abstract,"The quantity of published Linked Data is increasing dramatically. However, applications that consume Linked Data are not yet widespread. Current approaches lack methods for seamless integration of Linked Data from multiple sources, dynamic discovery of available data and data sources, provenance and information quality assessment, application development environments, and appropriate end user interfaces. Addressing these issues requires well-founded research, including the development and investigation of concepts that can be applied in systems which consume Linked Data from the Web. Following the success of the 1st and the 2nd International Workshop on Consuming Linked Data, we organize the third edition of this workshop in order to provide a platform for discussion and work on these open research problems. The main objective is to provide a venue for scientific discourse  including systematic analysis and rigorous evaluation  of concepts, algorithms and approaches for consuming Linked Data."
swc:isSuperEventOf,workshop:cold/2012,swrc:listKeyword,"Linked Data, Consuming, Data Management, Query Processing, Search, Reasoning"
swc:isSuperEventOf,workshop:cold/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:cold/2012,rdfs:label,Third International Workshop on Consuming Linked Data
swc:isSuperEventOf,workshop:cold/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:cold/2012,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,workshop:cold/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/COLD2012
swc:isSuperEventOf,workshop:derive/2012,swc:hasAcronym,DeRiVE-2012
swc:isSuperEventOf,workshop:derive/2012,dc:subject, event exploitation
swc:isSuperEventOf,workshop:derive/2012,dc:subject, event representation
swc:isSuperEventOf,workshop:derive/2012,dc:subject, multimedia
swc:isSuperEventOf,workshop:derive/2012,dc:subject, social media
swc:isSuperEventOf,workshop:derive/2012,dc:subject,event detection
swc:isSuperEventOf,workshop:derive/2012,dcterms:subject, event exploitation
swc:isSuperEventOf,workshop:derive/2012,dcterms:subject, event representation
swc:isSuperEventOf,workshop:derive/2012,dcterms:subject, multimedia
swc:isSuperEventOf,workshop:derive/2012,dcterms:subject, social media
swc:isSuperEventOf,workshop:derive/2012,dcterms:subject,event detection
swc:isSuperEventOf,workshop:derive/2012,swrc:abstract,"The goal of this workshop is to strengthen the participation of the semantic web community in the recent surge of research on the use of events as a key concept for representing knowledge and organising and structuring media on the web. The workshop invites contributions to three central themes: event detection, event representation, and event exploitation. Its goal is to formulate answers to questions in these themes that advance and reflect the current state of understanding. Each submission will be expected to address at least two themes explicitly, if possible including a system demonstration. This year, we specifically invite contributions that address both event and conversation semantics in multimedia and social media."
swc:isSuperEventOf,workshop:derive/2012,swrc:listKeyword,"event detection, event representation, event exploitation, multimedia, social media"
swc:isSuperEventOf,workshop:derive/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:derive/2012,rdfs:label,"Detection, Representation, and Exploitation of Events in the Semantic Web"
swc:isSuperEventOf,workshop:derive/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:derive/2012,iCal:dtStart,2012-11-12T14:00:00+05:00
swc:isSuperEventOf,workshop:derive/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/derive2012
swc:isSuperEventOf,workshop:evodyn/2012,swc:hasAcronym,EvoDyn
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject, Knowledge Evolution
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject, Knowledge Integration and Analysis over Time
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject, Representation of and Reasoning on Evolving Knowledge
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject, Temporality in Knowledge Capturing
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject, Visualization and Presenation of Evolving Knowledge
swc:isSuperEventOf,workshop:evodyn/2012,dc:subject,Ontology Dynamics
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject, Knowledge Evolution
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject, Knowledge Integration and Analysis over Time
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject, Representation of and Reasoning on Evolving Knowledge
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject, Temporality in Knowledge Capturing
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject, Visualization and Presenation of Evolving Knowledge
swc:isSuperEventOf,workshop:evodyn/2012,dcterms:subject,Ontology Dynamics
swc:isSuperEventOf,workshop:evodyn/2012,swrc:abstract,"EvoDyn 2012 continues the tradition of EvoDyn 2011 and the IWOD workshop series in being the core annual event to discuss advances in the broad area of ontology dynamics, and to track recent work directly or indirectly related to the problem of evolving knowledge. The workshop focuses on analysis of trends and change in formal descriptions, but also in associated raw sources of knowledge (scientific publications, unstructured or semi-structured Web content, traditional data stores, e-mail or on-line discussion threads, etc.). We are especially interested in research targeted on various states of knowledge evolution, such as (a) conflicts, (b) consolidation, (c) discovery, (d) paradigm shifts, and (e) breakthroughs. We would like to trigger a comprehensive and coherent approach to studying the process of knowledge evolution by bringing together researchers and practitioners from the following fields: (i) Data mining and knowledge discovery in dynamic resources; (ii) Ontology dynamics and versioning; (iii) Trend analysis (in multiple applications, including internet search, corpus evaluation, etc.); (iv) Natural Language Processing (evolution of terminology, language use, semantics); (v) Knowledge Representation (temporal ontologies, temporal logics, belief revision, etc.); (vi) Discourse Analysis and Philosophy of Science (the definition and understanding of what particular phases of the knowledge evolution are, and how can we delimit, identify or even trigger them)."
swc:isSuperEventOf,workshop:evodyn/2012,swrc:listKeyword,"Ontology Dynamics, Knowledge Evolution, Temporality in Knowledge Capturing, Knowledge Integration and Analysis over Time, Visualization and Presenation of Evolving Knowledge, Representation of and Reasoning on Evolving Knowledge"
swc:isSuperEventOf,workshop:evodyn/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:evodyn/2012,rdfs:label,2nd Joint Workshop on Knowledge Evolution and Ontology Dynamics
swc:isSuperEventOf,workshop:evodyn/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:evodyn/2012,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,workshop:evodyn/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/evodyn2012
swc:isSuperEventOf,workshop:kecsm/2012,swc:hasAcronym,KECSM-2012
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject, data enrichment
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject, information consolidation
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject, linked data
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject, social media
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject, text  mining
swc:isSuperEventOf,workshop:kecsm/2012,dc:subject,information extraction
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject, data enrichment
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject, information consolidation
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject, linked data
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject, social media
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject, text  mining
swc:isSuperEventOf,workshop:kecsm/2012,dcterms:subject,information extraction
swc:isSuperEventOf,workshop:kecsm/2012,swrc:abstract,"This workshop aims to gather innovative approaches for knowledge extraction and consolidation from unstructured social media, in particular from degraded user-generated content (text, images, video) such as tweets, blog posts, forums and user-generated visual media. KECSM will gather novel works from the fields of (a) data analysis and knowledge extraction, and (b) data enrichment, interlinking and consolidation. It will equally consider the application perspective, such as the innovative use of extracted knowledge to navigate, explore or visualise previously unstructured and disparate Web content. The workshop will provide a highly interactive forum for researchers in the fields of semantic and social Web, text mining and NLP, multimedia data analysis, clustering and integration, and ontology and data mapping."
swc:isSuperEventOf,workshop:kecsm/2012,swrc:listKeyword,"information extraction, information consolidation, social media, data enrichment, text  mining, linked data"
swc:isSuperEventOf,workshop:kecsm/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:kecsm/2012,rdfs:label,Knowledge Extraction and Consolidation from Social media
swc:isSuperEventOf,workshop:kecsm/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:kecsm/2012,iCal:dtStart,2012-11-12T14:00:00+05:00
swc:isSuperEventOf,workshop:kecsm/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/kecsm2012
swc:isSuperEventOf,workshop:lhd-semquant/2012,swc:hasAcronym,LHD+SemQuant
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Dynamic matching
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Matching
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Meaning
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Ontology
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Semantic Information Theory
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, Semantic Web
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, analytics
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, metrics
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, quantitative
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject, similarity
swc:isSuperEventOf,workshop:lhd-semquant/2012,dc:subject,Large data
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Dynamic matching
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Matching
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Meaning
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Ontology
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Semantic Information Theory
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, Semantic Web
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, analytics
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, metrics
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, quantitative
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject, similarity
swc:isSuperEventOf,workshop:lhd-semquant/2012,dcterms:subject,Large data
swc:isSuperEventOf,workshop:lhd-semquant/2012,swrc:abstract,"One part of this workshop (LHD) is designed to bring together people from different fields working in the area of dynamic matching, interpretation, and integration of heterogeneous data, so that ideas, techniques and problems can be shared and discussed in a broad context. A key part of this workshop is bringing together those from industry and government as well as those from academia. In order to interact successfully in an open and heterogeneous environment, being able to dynamically and adaptively integrate data from other systems on the go is necessary. This may not be a precise process but a matter of finding a good enough understanding to allow interaction to proceed successfully. With the advent of the Web, there are massive amounts of information available online that can assist in this task, but this information is often chaotically organised, stored in a wide variety of data-formats, and difficult to interpret. The other part of this workshop (SemQuant) aims to unlock a new paradigm in Semantic Web research, and even in KR research in general, by adding a quantitative research paradigm to the traditionally predominant qualitative logic-based paradigm. This is motivated in part by the significant growth in Semantic Web data, including ontologies and Linked Data, over recent years. To efficiently manage the vast quantities of knowledge and data on the Semantic Web, we need theories and tools to address questions like: How can we measure knowledge? How are these measurements different from measurements of information? How can we efficiently store knowledge? How can we efficiently and accurately transform knowledge on noisy channels like the Web? How can we measure the quality of ontologies and other forms of knowledge? How can we determine the quality of approximate methods for inference, similarity, soundness, completeness, etc.? How can such quantitative formalization help the engineering and realization of the Semantic Web?"
swc:isSuperEventOf,workshop:lhd-semquant/2012,swrc:listKeyword,"Large data, Matching, Meaning, Ontology, Dynamic matching, Semantic Web, quantitative, metrics, analytics, Semantic Information Theory, similarity"
swc:isSuperEventOf,workshop:lhd-semquant/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:lhd-semquant/2012,rdfs:label,Joint Workshop on Large and Heterogeneous Data and Quantitative Formalization in the Semantic Web
swc:isSuperEventOf,workshop:lhd-semquant/2012,iCal:dtEnd,2012-11-12T12:30:00+05:00
swc:isSuperEventOf,workshop:lhd-semquant/2012,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,workshop:lhd-semquant/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/lhd%2Bsemquant
swc:isSuperEventOf,workshop:lisc/2012,swc:hasAcronym,LISC-2012
swc:isSuperEventOf,workshop:lisc/2012,dc:subject, Big Data
swc:isSuperEventOf,workshop:lisc/2012,dc:subject, Linked Data
swc:isSuperEventOf,workshop:lisc/2012,dc:subject, Open Science
swc:isSuperEventOf,workshop:lisc/2012,dc:subject, Scalability
swc:isSuperEventOf,workshop:lisc/2012,dc:subject, Scientific Communication
swc:isSuperEventOf,workshop:lisc/2012,dc:subject,Linked Science
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject, Big Data
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject, Linked Data
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject, Open Science
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject, Scalability
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject, Scientific Communication
swc:isSuperEventOf,workshop:lisc/2012,dcterms:subject,Linked Science
swc:isSuperEventOf,workshop:lisc/2012,swrc:abstract,"Scientific communication has traditionally relied upon publications and presentations, with an estimate of millions of publications worldwide per year; the growth rate of PubMed alone is now 1 paper per minute. The results described in these articles are often backed by large amounts of diverse data produced by complex experiments, computer simulations, and observations of physical phenomena. Because of this avalanche of data, it is increasingly hard to validate, reproduce, reuse and leverage scientific data. In addition, although publications, methods and datasets are very related, they are not easily accessible and interlinked. The notable exception is omics research where journals require deposit of sequences in databanks as a condition of publication. Even where data is discoverable and accessible, significant challenges remain in data reuse and sharing, in facilitating the necessary correlation, integration and synthesis of data across levels of theory, techniques and disciplines. In the 2nd International Workshop on Linked Science (LISC2012) we will discuss and present results of new ways of publishing, sharing and linking scientific data together, and reasoning over such data to discover interesting new links to validate research. The theme of this years workshop will focus on research addressing these issues with respect to big data. Big Data is loosely characterized by the size and/or number of individual files, the number of represented variables, a range of physical scales, a range of scientific disciplines, heterogeneous metadata and data formats, in short data that cannot easily be accessed and manipulated from a thumb-drive."
swc:isSuperEventOf,workshop:lisc/2012,swrc:listKeyword,"Linked Science, Big Data, Linked Data, Open Science, Scientific Communication, Scalability"
swc:isSuperEventOf,workshop:lisc/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:lisc/2012,rdfs:label,The 2nd International Workshop on Linked Science 2012Tackling Big Data
swc:isSuperEventOf,workshop:lisc/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:lisc/2012,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,workshop:lisc/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/LISC2012
swc:isSuperEventOf,workshop:msw/2012,swc:hasAcronym,MSW3
swc:isSuperEventOf,workshop:msw/2012,dc:subject, Multilingual Linked Data
swc:isSuperEventOf,workshop:msw/2012,dc:subject, Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dc:subject, cross-lingual and multilingual NLP for the Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dc:subject, cross-lingual haromonization and reconciliation
swc:isSuperEventOf,workshop:msw/2012,dc:subject, localization in the Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dc:subject,multilinguality
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject, Multilingual Linked Data
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject, Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject, cross-lingual and multilingual NLP for the Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject, cross-lingual haromonization and reconciliation
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject, localization in the Semantic Web
swc:isSuperEventOf,workshop:msw/2012,dcterms:subject,multilinguality
swc:isSuperEventOf,workshop:msw/2012,swrc:abstract,"The vision of the Multilingual Semantic Web workshop series is the creation of a Semantic Web where semantically structured information can be aligned, integrated and used across languages. The workshops are concerned with research questions on how current Semantic Web infrastructure can and should be extended to support this vision. Ontologies and linked data vocabularies are defined often in one language only (English), with a biased semantics and a corresponding world view. An infrastructure should be in place for defining ontologies and vocabularies in multiple languages with a transparent semantics across them. Current Semantic Web representation languages (RDF, OWL, SKOS) are limited in regard of the representation of natural language semantics, leaving much of the semantics hidden in textual web content out of scope for the developing Web of Data. NLP and machine learning for Linked Data can benefit from exploiting linguistic resources such as annotated corpora, Wordnets etc. if they are themselves formally represented and linked by use of Linked Data principles. In addressing such research questions, the workshop aims at providing a forum for researchers at the intersection of NLP, multilingual information access, Linked Data and the Semantic Web to exchange ideas on realizing the Multilingual Semantic Web."
swc:isSuperEventOf,workshop:msw/2012,swrc:listKeyword,"multilinguality, Semantic Web, Multilingual Linked Data, cross-lingual haromonization and reconciliation, cross-lingual and multilingual NLP for the Semantic Web, localization in the Semantic Web"
swc:isSuperEventOf,workshop:msw/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:msw/2012,rdfs:label,3rd Workshop on the Multilingual Semantic Web
swc:isSuperEventOf,workshop:msw/2012,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,workshop:msw/2012,iCal:dtStart,2012-11-11T14:00:00+05:00
swc:isSuperEventOf,workshop:msw/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/msw3
swc:isSuperEventOf,workshop:om/2012,swc:hasAcronym,OM-2012
swc:isSuperEventOf,workshop:om/2012,dc:subject, Ontology Alignment Evaluation Initiative (OAEI)
swc:isSuperEventOf,workshop:om/2012,dc:subject, data interlinking
swc:isSuperEventOf,workshop:om/2012,dc:subject, ontology alignment
swc:isSuperEventOf,workshop:om/2012,dc:subject, schema matching
swc:isSuperEventOf,workshop:om/2012,dc:subject, semantic heterogeneity
swc:isSuperEventOf,workshop:om/2012,dc:subject,ontology matching
swc:isSuperEventOf,workshop:om/2012,dcterms:subject, Ontology Alignment Evaluation Initiative (OAEI)
swc:isSuperEventOf,workshop:om/2012,dcterms:subject, data interlinking
swc:isSuperEventOf,workshop:om/2012,dcterms:subject, ontology alignment
swc:isSuperEventOf,workshop:om/2012,dcterms:subject, schema matching
swc:isSuperEventOf,workshop:om/2012,dcterms:subject, semantic heterogeneity
swc:isSuperEventOf,workshop:om/2012,dcterms:subject,ontology matching
swc:isSuperEventOf,workshop:om/2012,swrc:abstract,"Ontology matching is a key interoperability enabler for the Semantic Web, as well as a useful tactic in some classical data integration tasks dealing with the semantic heterogeneity problem. It takes the ontologies as input and determines as output an alignment, that is, a set of correspondences between the semantically related entities of those ontologies. These correspondences can be used for various tasks, such as ontology merging, data translation, query answering or navigation on the web of data. Thus, matching ontologies enables the knowledge and data expressed in the matched ontologies to interoperate."
swc:isSuperEventOf,workshop:om/2012,swrc:listKeyword,"ontology matching, semantic heterogeneity, Ontology Alignment Evaluation Initiative (OAEI), ontology alignment, schema matching, data interlinking"
swc:isSuperEventOf,workshop:om/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:om/2012,rdfs:label,The Seventh International Workshop on Ontology Matching
swc:isSuperEventOf,workshop:om/2012,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,workshop:om/2012,iCal:dtStart,2012-11-11T09:00:00+05:00
swc:isSuperEventOf,workshop:om/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/ontology-matching
swc:isSuperEventOf,workshop:psw/2012,swc:hasAcronym,PSW
swc:isSuperEventOf,workshop:psw/2012,dc:subject, Information and Data Management
swc:isSuperEventOf,workshop:psw/2012,dc:subject, Semantic Web Technology Stack
swc:isSuperEventOf,workshop:psw/2012,dc:subject,Programming languages for the Semantic Web
swc:isSuperEventOf,workshop:psw/2012,dcterms:subject, Information and Data Management
swc:isSuperEventOf,workshop:psw/2012,dcterms:subject, Semantic Web Technology Stack
swc:isSuperEventOf,workshop:psw/2012,dcterms:subject,Programming languages for the Semantic Web
swc:isSuperEventOf,workshop:psw/2012,swrc:abstract,"The Semantic Web is growing at an enormous pace. However, the development of semantic web software applications is not yet mainstream. Reasons for that include one (or more) of the following research issues: lack of integrated development environments (IDEs, such as Visual Studio and Eclipse), poor programming language support, lack of standard testbeds and/or benchmarks, inadequate training, and perhaps the need for curricula revision. Properly addressing these issues requires interdisciplinary skills, and the collaboration between academia and industry. The First Workshop on Programming the Semantic Web invites submissions that explore the gap between todays semantic web challenges, particularly the ones related to dealing with large amounts of data, with the lack of adequate tools. We are looking for contributions that discuss, promote and further advance the programming facet of the semantic web, including the development of new languages, extension of existing ones, and the inclusion of semantic enabled capabilities into existing IDEs."
swc:isSuperEventOf,workshop:psw/2012,swrc:listKeyword,"Programming languages for the Semantic Web, Information and Data Management, Semantic Web Technology Stack"
swc:isSuperEventOf,workshop:psw/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:psw/2012,rdfs:label,First Workshop on Programming the Semantic Web
swc:isSuperEventOf,workshop:psw/2012,iCal:dtEnd,2012-11-11T17:30:00+05:00
swc:isSuperEventOf,workshop:psw/2012,iCal:dtStart,2012-11-11T09:00:00+05:00
swc:isSuperEventOf,workshop:psw/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/psw12.inf.puc-rio.br
swc:isSuperEventOf,workshop:satbi-swim/2012,swc:hasAcronym,SATBI-SWIM
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject, clinical informatics
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject, linked data
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject, ontology
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject, personalized medicine
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject, semantic
swc:isSuperEventOf,workshop:satbi-swim/2012,dc:subject,bioinformatics
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject, clinical informatics
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject, linked data
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject, ontology
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject, personalized medicine
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject, semantic
swc:isSuperEventOf,workshop:satbi-swim/2012,dcterms:subject,bioinformatics
swc:isSuperEventOf,workshop:satbi-swim/2012,swrc:abstract,"The Joint Workshop on Semantic Technologies Applied to Biomedical Informatics and Individualized Medicine, co-located with the 11th International Semantic Web Conference, will bring together researchers, developers and practitioners actively applying Semantic technologies to Biological and Medical Informatics problems. The workshop aims to attract researchers from Computer Science, Information Science, Biomedicine, Bioinformatics, and related areas to share research challenges, results, methods and advances in the appliance of Semantic Web technologies to two domains within Clinical and Translational research  bioinformatics and individualized medicine."
swc:isSuperEventOf,workshop:satbi-swim/2012,swrc:listKeyword,"bioinformatics, semantic, ontology, clinical informatics, linked data, personalized medicine"
swc:isSuperEventOf,workshop:satbi-swim/2012,rdf:type,swc:WorkshopEvent
swc:isSuperEventOf,workshop:satbi-swim/2012,rdfs:label,Joint Workshop on Semantic Technologies Applied to Biomedical Informatics and Individualized Medicine (SATBI+SWIM 2012)
swc:isSuperEventOf,workshop:satbi-swim/2012,iCal:dtEnd,2012-11-12T17:30:00+05:00
swc:isSuperEventOf,workshop:satbi-swim/2012,iCal:dtStart,2012-11-12T09:00:00+05:00
swc:isSuperEventOf,workshop:satbi-swim/2012,foaf:homepage,http://iswc2012.semanticweb.org/workshops/SATBI%2BSWIM2012
swc:isSuperEventOf,workshop:sersy/2012,swc:hasAcronym,SeRSy
swc:isSuperEventOf,workshop:sersy/2012,dc:subject, big data
swc:isSuperEventOf,workshop:sersy/2012,dc:subject, linked data
swc:isSuperEventOf,workshop:sersy/2012,dc:subject, personalization
swc:isSuperEventOf,workshop:sersy/2012,dc:subject, semantic technologies
swc:isSuperEventOf,workshop:sersy/2012,dc:subject, social web
swc:isSuperEventOf,workshop:sersy/2012,dc:subject,recommender systems
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject, big data
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject, linked data
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject, personalization
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject, semantic technologies
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject, social web
swc:isSuperEventOf,workshop:sersy/2012,dcterms:subject,recommender systems
swc:isSuperEventOf,workshop:sersy/2012,swrc:abstract,"More and more semantic data are published following the Linked Data principles, that enable to set up links between objects in different data sources, by connecting information in a single global data space: the Web of Data. Today, Web of Data includes different types of knowledge represented in a homogeneous form: sedimentary one (encyclopedic, cultural, linguistic, common-sense) and real-time one (news, data streams, ...). This data might be useful to interlink diverse information about users, items, and their relations and implement reasoning mechanisms that can support and improve the recommendation process.  The challenge is to investigate whether and how this large amount of wide-coverage and linked semantic knowledge can be automatically introduced into systems that perform tasks requiring human-level intelligence. Examples of such tasks include understanding a health problem in order to make a medical decision, or simply deciding which laptop to buy. Recommender systems support users exactly in those complex tasks.  The primary goal of the workshop is to showcase cutting edge research on the intersection of Semantic Technologies and Recommender Systems, by taking the best of the two worlds. This combination may provide the Semantic Web community with important real-world scenarios where its potential can be effectively exploited into systems performing complex tasks."
swc:isSuperEventOf,workshop:sersy/2012,swrc:listKeyword,"recommender systems, linked data, social web, semantic technologies, personalization, big data"
swc:isSuperEventOf,workshop:sersy/2012,rdf:type,swc:WorkshopEvent
